RequirementText,_class_,cleaned_text
The web application shall add 5 seconds perceivable overhead time necessary web database transaction time.,PE,web application shall add second perceivable overhead time necessary web database transaction time
The system shall utilize HTTPS communication ensure data confidentiality.,SE,system shall utilize http communication ensure data confidentiality
User authentication privileges defined outside scope sytem Microsoft Active Directroy Server.,SE,user authentication privilege defined outside scope sytem microsoft active directroy server
Personal information security defined outside scope SDMS database server.,SE,personal information security defined outside scope sdms database server
Users shall required log system operations except operations login page.,SE,user shall required log system operation except operation login page
The system shall run Windows Server 2003.,PO,system shall run window server
The system shall compatible IIS6.0 Apache 2.0 above.,PO,system shall compatible ii apache
The system shall display products configured.,F,system shall display product configured
The system shall allow user select product configure.,F,system shall allow user select product configure
The system shall display available components product configure.,F,system shall display available component product configure
The system shall enable user add one component configuration.,F,system shall enable user add one component configuration
The system shall notify user conflict current configuration.,F,system shall notify user conflict current configuration
The system shall allow user confirm completion current configuration.,F,system shall allow user confirm completion current configuration
The system shall display detailed information selected products.,F,system shall display detailed information selected product
The system shall provide browsing options see product details.,F,system shall provide browsing option see product detail
The system shall display detailed product categorization user.,F,system shall display detailed product categorization user
The system shall enable user enter search text screen.,F,system shall enable user enter search text screen
The system shall enable user select multiple options screen search.,F,system shall enable user select multiple option screen search
The system shall display matching products based search.,F,system shall display matching product based search
The system shall display 10 matching result current screen.,F,system shall display matching result current screen
The system shall enable user navigate search results.,F,system shall enable user navigate search result
The system shall notify user matching product found search.,F,system shall notify user matching product found search
The system shall allow user create profile set credential.,F,system shall allow user create profile set credential
The system shall authenticate user credentials view profile.,F,system shall authenticate user credential view profile
The system shall allow user update profile information.,F,system shall allow user update profile information
The system shall display active completed order history customer profile.,F,system shall display active completed order history customer profile
The system shall allow user select order order history.,F,system shall allow user select order order history
The system shall display detailed information selected order.,F,system shall display detailed information selected order
The system shall display frequently searched items user profile.,F,system shall display frequently searched item user profile
The system shall allow user register newsletters surveys profile.,F,system shall allow user register newsletter survey profile
The system shall allow user select support type wants.,F,system shall allow user select support type want
The system shall allow user enter customer product information support.,F,system shall allow user enter customer product information support
The system shall display customer support contact numbers screen.,F,system shall display customer support contact number screen
The system shall allow user enter contact number support personnel call.,F,system shall allow user enter contact number support personnel call
The system shall display online help upon request.,F,system shall display online help upon request
The system shall display FAQ's upon request.,F,system shall display faq upon request
The system shall maintain customer email information required part customer profile.,F,system shall maintain customer email information required part customer profile
The system shall send order confirmation user email.,F,system shall send order confirmation user email
The system shall display detailed invoice current order confirmed.,F,system shall display detailed invoice current order confirmed
The system shall optionally allow user print invoice.,F,system shall optionally allow user print invoice
The system shall provide shopping cart online purchase.,F,system shall provide shopping cart online purchase
The system shall allow user add/remove products shopping cart.,F,system shall allow user add remove product shopping cart
The system shall display different shipping options provided shipping department.,F,system shall display different shipping option provided shipping department
The system shall enable user select shipping method payment process.,F,system shall enable user select shipping method payment process
The system shall display shipping charges.,F,system shall display shipping charge
The system shall display tentative duration shipping.,F,system shall display tentative duration shipping
The system shall allow user enter order information tracking.,F,system shall allow user enter order information tracking
The system shall display current tracking information order.,F,system shall display current tracking information order
The system shall calculate tax order.,F,system shall calculate tax order
The system shall display tax information order.,F,system shall display tax information order
The system shall display available payment methods payment.,F,system shall display available payment method payment
The system shall allow user select payment method order.,F,system shall allow user select payment method order
The system shall display orders eligible change.,F,system shall display order eligible change
The system shall allow user select order changed.,F,system shall allow user select order changed
The system shall allow user cancel order.,F,system shall allow user cancel order
The system shall notify user changes made order.,F,system shall notify user change made order
The system shall enable user enter reviews ratings.,F,system shall enable user enter review rating
The system shall display available financing options.,F,system shall display available financing option
The system shall allow user select financing option.,F,system shall allow user select financing option
The system shall notify use financing request.,F,system shall notify use financing request
The system shall allow user view detailed sitemap.,F,system shall allow user view detailed sitemap
The system shall display available promotions user.,F,system shall display available promotion user
The system shall allow user select available promotion.,F,system shall allow user select available promotion
The system shall allow user confirm purchase.,F,system shall allow user confirm purchase
The system shall enable user enter payment information.,F,system shall enable user enter payment information
The system shall provide uniform look feel web pages.,LF,system shall provide uniform look feel web page
The system shall provide digital image product product catalog.,US,system shall provide digital image product product catalog
The system shall provide use icons toolbars.,US,system shall provide use icon toolbars
The system shall provide handicap access.,US,system shall provide handicap access
The system shall provide multi language support.,US,system shall provide multi language support
The system shall provide contractual agreement internet service provider T3 access 99.9999% availability.,A,system shall provide contractual agreement internet service provider access availability
The system shall provide contractual agreement internet service provider provide 99.999% availability network facilities onto internet.,A,system shall provide contractual agreement internet service provider provide availability network facility onto internet
The product shall based web run web server.,O,product shall based web run web server
The product shall take initial load time depending internet connection strength also depends media product run.,PE,product shall take initial load time depending internet connection strength also depends medium product run
The performance shall depend upon hardware components client/customer.,PE,performance shall depend upon hardware component client customer
The system shall use secure sockets transactions include confidential customer information.,SE,system shall use secure socket transaction include confidential customer information
The system shall automatically log customers period inactivity.,SE,system shall automatically log customer period inactivity
The system shall confirm transactions customer's web browser.,US,system shall confirm transaction customer web browser
The system shall leave cookies customer's computer containing user's password.,SE,system shall leave cooky customer computer containing user password
The system shall leave cookies customer's computer containing user's confidential information.,SE,system shall leave cooky customer computer containing user confidential information
The customer's web browser shall never display customer's password. It shall always echoed special characters representing typed characters.,SE,customer web browser shall never display customer password shall always echoed special character representing typed character
The customer's web browser shall never display customer's credit card number retrieving database. It shall always shown last 4 digits credit card number.,SE,customer web browser shall never display customer credit card number retrieving database shall always shown last digit credit card number
The system's back-end servers shall never display customer's password. The customer's password may reset never shown.,SE,system back end server shall never display customer password customer password may reset never shown
The system's back-end databases shall encrypted.,SE,system back end database shall encrypted
The system shall allow user register account page system.,F,system shall allow user register account page system
The system use single password per user login E-Store System.,SE,system use single password per user login store system
The system shall use secure socket layer (SSL) technology ensure payments made online user logins secure.,SE,system shall use secure socket layer ssl technology ensure payment made online user logins secure
Any page application take 6 seconds load DSL broadband connection.,PE,page application take second load dsl broadband connection
The system may throttled slowed heavy loads ensure service everybody. By throttling meant certain functionality may unavailable heavy server load.,PE,system may throttled slowed heavy load ensure service everybody throttling meant certain functionality may unavailable heavy server load
The application able support 100 concurrent users without performance degradation.,PE,application able support concurrent user without performance degradation
The system able scale 500 concurrent users (if need future) installing additional hardware components.,SC,system able scale concurrent user need future installing additional hardware component
The MTBF (if any) less 2 months.,A,mtbf less month
A secure server required ensure confidentiality customer's credit card details.,SE,secure server required ensure confidentiality customer credit card detail
The user interface system user friendly.,US,user interface system user friendly
It take 120 seconds new user register account.,US,take second new user register account
It take 90 seconds registered user place order.,US,take second registered user place order
The system easy enough maintain someone else could manual hours training.,MN,system easy enough maintain someone else could manual hour training
The system portable various operating environments.,PO,system portable various operating environment
Registered User must able maintain his/her session information least 60 minutes inactive session system prompts log system. The registered user must provided options E-store regardless time he/she logs in.,F,registered user must able maintain session information least minute inactive session system prompt log system registered user must provided option store regardless time log
The entire website must user-friendly easily navigable. The website must provided site map quick access particular link according requirement specification. The user must able find he/she wants site without difficulty. The website must adhere branding schemes layout web pages must uniform throughout,US,entire website must user friendly easily navigable website must provided site map quick access particular link according requirement specification user must able find want site without difficulty website must adhere branding scheme layout web page must uniform throughout
The system shall support 10000 simultaneous users central database given time 5000 simultaneous users local servers one time. The performance website must optimal incase huge loads hence appropriate load balancing must done achieve this. There number mirror servers readily available case huge loads without user getting delay.,PE,system shall support simultaneous user central database given time simultaneous user local server one time performance website must optimal incase huge load hence appropriate load balancing must done achieve number mirror server readily available case huge load without user getting delay
The website must provide highest degree security registered users. All transactions made must secured. The sensitive information passed website must secured. Identity theft security related issues must solved. Unauthorized transmission sensitive information user third party websites reference must avoided. On basis user agreement information must processed. All information registered user must securely stored central database.,SE,website must provide highest degree security registered user transaction made must secured sensitive information passed website must secured identity theft security related issue must solved unauthorized transmission sensitive information user third party website reference must avoided basis user agreement information must processed information registered user must securely stored central database
